,Pregunta,Intencion,Pregunta_new,Pregunta_corregida
9468,¿cómo doy de alta un débito automático?,Cat_87,cómo doy de alta un débito automático,como doy de alta un debito automático
9469,quiero saber mi numero de envío por un cambio de puntos que hice,Cat_326,quiero saber mi numero de envío por un cambio de puntos que hice,quiero saber mi numero de envio por un cambio de puntos que hice
9470,cómo acceder al beneficio woman,Cat_357,cómo acceder al beneficio woman,como acceder al beneficio woman
9471,como hago para canjear kilómetros advantage?,Cat_273,como hago para canjear kilómetros advantage,como hago para canjear kilómetros advantage
9472,necesito dar de baja al debito de sorpresa santander,Cat_320,necesito dar de baja al debito de sorpresa santander,necesito dar de baja al debito de sorpresa santander
9473,no encuentro un cheque con quien tengo que hablar?,Cat_48,no encuentro un cheque con quien tengo que hablar,no encuentro un cheque con quien tengo que hablar
9474,como pagar mis expensas,Cat_132,como pagar mis expensas,como pagar mis expensas
9475,tengo canje por millas y quiero volver a superclub y sumar puntos,Cat_299,tengo canje por millas y quiero volver a superclub y sumar puntos,tengo canje por millas y quiero volver a superclub y sumar puntos
9476,puedo elegir donde escriturar?,Cat_207,puedo elegir donde escriturar,puedo elegir donde escriturar
9477,necesitar saber cuanto pagar tarjeta,Cat_342,necesitar saber cuanto pagar tarjeta,necesitar saber cuanto pagar tarjeta
9478,como habilitar mi contraseña para cobro por cajero,Cat_288,como habilitar mi contraseña para cobro por cajero,como habilitar mi contraseña para cobro por cajero
9479,hice una compra de tachos de basura por mis puntos super club y no me llegan aún,Cat_326,hice una compra de tachos de basura por mis puntos super club y no me llegan aún,hice una compra de tachos de basura por mis puntos super club y no me llegan azn
9480,extraido plata,Cat_112,extraido plata,extraigo plata
9481,qué requisitos piden para dar de alta una cuenta nueva?,Cat_39,qué requisitos piden para dar de alta una cuenta nueva,que requisitos piden para dar de alta una cuenta nueva
9482,como solicito la tarjeta visa,Cat_337,como solicito la tarjeta visa,como solicito la tarjeta visa
9483,la promo de descuento en falabella incluye tambien el calzado,Cat_311,la promo de descuento en falabella incluye tambien el calzado,la prono de descuento en falabella incluye tambien el calzado
9484,como puedo hacer para ver el resumen de la tarjeta de ccredito.,Cat_138,como puedo hacer para ver el resumen de la tarjeta de ccredito,como puedo hacer para ver el resumen de la tarjeta de credito
9485,el viento de anoche me rompió una media sombra que tenia en mi patio me la cubre el seguro?,Cat_265,el viento de anoche me rompió una media sombra que tenia en mi patio me la cubre el seguro,el viento de anoche me rompió una media sombra que tenia en mi patio me la cubre el seguro
9486,prestamo tradicional,Cat_225,prestamo tradicional,prestamo tradicional
9487,cliente infiniti black tiene asisst card,Cat_282,cliente infiniti black tiene asisst card,cliente infinita black tiene asiste carde
9488,queria saber como me pueden levantar el monto del pre acordado,Cat_196,queria saber como me pueden levantar el monto del pre acordado,quera saber como me pueden levantar el monto del pre acordado
9489,me informan que llegue mi chequera pero quiero retirarla en otra sucursal,Cat_46,me informan que llegue mi chequera pero quiero retirarla en otra sucursal,me informan que llegue mi chequera pero quiero retirarla en otra sucursal
9490,realizar tranferencia,Cat_83,realizar tranferencia,realizar trasferencia
9491,soy cliente y quiero pedir tarjeta de credito,Cat_337,soy cliente y quiero pedir tarjeta de credito,soy cliente y quiero pedir tarjeta de credito
9492,quisiera saber como resolver una deuda en una tarjeta,Cat_192,quisiera saber como resolver una deuda en una tarjeta,quisiera saber como resolver una deuda en una tarjeta
9493,monto pagar tarjeta,Cat_342,monto pagar tarjeta,monto pagar tarjeta
9494,cargar redbus aplicacion,Cat_132,cargar redbus aplicacion,cargar rebus aplicacion
9495,quiero saber si con el pago de visa realizado hoy ya tengo habilitada la tarjeta.,Cat_314,quiero saber si con el pago de visa realizado hoy ya tengo habilitada la tarjeta,quiero saber si con el pago de visa realizado hoy ya tengo habilitada la tarjeta
9496,como hacer para solicitar un credito?,Cat_223,como hacer para solicitar un credito,como hacer para solicitar un credito
9497,quiero hacer una compra online por y me rechaza la tarjeta,Cat_290,quiero hacer una compra online por y me rechaza la tarjeta,quiero hacer una compra online por y me rechaza la tarjeta
9498,online banking verlo página querer generar clave poder,Cat_1,online banking verlo página querer generar clave poder,online bancking verlo pagina querer generar clave poder
9499,soy titular de tarjeta de ccredito. puedo comprar euros?,Cat_166,soy titular de tarjeta de ccredito puedo comprar euros,soy titular de tarjeta de credito puedo comprar euros
9500,no se me aplico el descuento por pago de servicios con debito automatico,Cat_312,no se me aplico el descuento por pago de servicios con debito automatico,no se me aplico el descuento por pago de servicios con debito automatico
9501,hice una transferencia por error,Cat_82,hice una transferencia por error,hice una transferencia por error
9502,que es advantage?,Cat_277,que es advantage,que es advantage
9503,averiguar apetura caja ahorrar,Cat_39,averiguar apetura caja ahorrar,averiguar apertura caja ahorrar
9504,cotización de posible préstamo personal,Cat_251,cotización de posible préstamo personal,cotización de posible préstamo personal
9505,sigue el descuento en peluquerias?,Cat_311,sigue el descuento en peluquerias,sigue el descuento en peluqueria
9506,aviso de consumo,Cat_125,aviso de consumo,aviso de consumo
9507,quiero saber si es posible inscribirse en la capacitación para emprendedoras,Cat_357,quiero saber si es posible inscribirse en la capacitación para emprendedoras,quiero saber si es posible inscribirse en la capacitacion para emprendedoras
9508,rescate de tarjeta de ccredito visa,Cat_318,rescate de tarjeta de ccredito visa,rescate de tarjeta de credito visa
9509,adelanto de haberes,Cat_57,adelanto de haberes,adelanto de haberes
9510,cuenta universitaria,Cat_359,cuenta universitaria,cuenta universitaria
9511,queria adherir debitar automatico edesur visa debitar,Cat_132,queria adherir debitar automatico edesur visa debitar,quera adherir debitar automatico edesur visa debitar
9512,necesito un ccredito personal,Cat_223,necesito un ccredito personal,necesito un credito personal
9513,realmente no se que categoria es mi tarjeta visa santander rio. me lo pueden informar.,Cat_75,realmente no se que categoria es mi tarjeta visa santander rio me lo pueden informar,realmente no se que categoria es mi tarjeta visa santander rio me lo pueden informar
9514,puedo pagar la cuota del prestamo personal mensualmente por home banking?,Cat_239,puedo pagar la cuota del prestamo personal mensualmente por home banking,puedo pagar la cuota del prestamo personal mensualmente por home bancking
9515,tienen alguna tarjeta para jubilados,Cat_63,tienen alguna tarjeta para jubilados,tienen alguna tarjeta para jubilados
9516,qusiera saber el monto total de lo que adeudo,Cat_99,qusiera saber el monto total de lo que adeudo,quisiera saber el monto total de lo que adeudo
9517,me otorgaron bonificacion del mantenimiento por antigí¬≠¬≠¬≠¬≠¬ºedad y sin embargo me lo están cobrando,Cat_90,me otorgaron bonificacion del mantenimiento por antigíºedad y sin embargo me lo están cobrando,me otorgaron bonificacion del mantenimiento por antigíºedad y sin embargo me lo están cobrando
9518,puedo cancelar deuda con transferencia,Cat_192,puedo cancelar deuda con transferencia,puedo cancelar deuda con transferencia
9519,como genero usuario que dice que esta vencido?,Cat_1,como genero usuario que dice que esta vencido,como genero usuario que dice que esta vencido
9520,quiero solicitar credito de $,Cat_223,quiero solicitar credito de ,quiero solicitar credito de
9521,como hago para saber el resumen de mi tarjeta santander rio?,Cat_138,como hago para saber el resumen de mi tarjeta santander rio,como hago para saber el resumen de mi tarjeta santander rio
9522,cuanto tiempo lleva la entrega del producto.,Cat_326,cuanto tiempo lleva la entrega del producto,cuanto tiempo lleva la entrega del producto
9523,se rompio la cerradura de una habitacion quedando un familiar adentro. pudo salir pero la cerradura quedo averiada. a que numero debo llamar para la reparacion?,Cat_265,se rompio la cerradura de una habitacion quedando un familiar adentro pudo salir pero la cerradura quedo averiada a que numero debo llamar para la reparacion,se rompido la cerradura de una habitacion quedando un familiar adentro pudo salir pero la cerradura quedo aperlada a que numero debo llamar para la reparacion
9524,necesito reclamar retencion indebida,Cat_135,necesito reclamar retencion indebida,necesito reclamar retencion indebida
9525,cuál es la situación de mi denuncia de siniestro?,Cat_270,cuál es la situación de mi denuncia de siniestro,cuál es la situación de mi denuncia de siniestro
9526,quiero licitar letes pero no me figura la opcion en homebanking,Cat_160,quiero licitar letes pero no me figura la opcion en homebanking,quiero licitar letes pero no me figura la opcion en homebanking
9527,no puedo ingresar a mi homebanking realizar el rescate el fondo que poseo es para rescates inmediatos sin espera de tiempo de 24 48 o 72 horas,Cat_172,no puedo ingresar a mi homebanking realizar el rescate el fondo que poseo es para rescates inmediatos sin espera de tiempo de number number o number horas,no puedo ingresar a mi homebanking realizar el rescate el fondo que poseo es para rescates inmediatos sin espera de tiempo de number number o number horas
9528,quiero invertir en letras del tesoro,Cat_157,quiero invertir en letras del tesoro,quiero invertir en letras del tesoro
9529,cobrar tarjeta credito,Cat_112,cobrar tarjeta credito,cobrar tarjeta credito
9530,quieronumero llamar,Cat_147,quieronumero llamar,quieronumero llamar
9531,donde consulto mi resumen único?,Cat_138,donde consulto mi resumen único,donde consulto mi resumen único
9532,que información se necesita para hacer el pedido de cláusula de subrogación?,Cat_268,que información se necesita para hacer el pedido de cláusula de subrogación,que información se necesita para hacer el pedido de cláusula de subrogacion
9533,tengo un cheque del exterior  puedo depositarlo en mi cuenta o cobrarlo por caja,Cat_30,tengo un cheque del exterior  puedo depositarlo en mi cuenta o cobrarlo por caja,tengo un cheque del exterior puedo depositarlo en mi cuenta o cobrarlo por caja
9534,tengo un problema con el debito automatico de un servcio,Cat_129,tengo un problema con el debito automatico de un servcio,tengo un problema con el debito automatico de un servicio
9535,donde está mi tarjeta,Cat_293,donde está mi tarjeta,donde esto mi tarjeta
9536,no encuentro una empresa para pagar en la lista de home banking,Cat_130,no encuentro una empresa para pagar en la lista de home banking,no encuentro una empresa para pagar en la lista de home bancking
9537,el canje de millas como se hace?,Cat_273,el canje de millas como se hace,el canje de millas como se hace
9538,como ago para sacar el credito,Cat_223,como ago para sacar el credito,como pago para sacar el credito
9539,quiero costo tarjeta adicional visa,Cat_96,quiero costo tarjeta adicional visa,quiero costo tarjeta adicional visa
9540,se me bloqueo la clave alfabeticaque tengo que hacer?,Cat_288,se me bloqueo la clave alfabeticaque tengo que hacer,se me bloqueo la clave alfabeticaque tengo que hacer
9541,como los jubilados deben demostrar que siguen vivos para seguir cobrando la jubilacion?,Cat_88,como los jubilados deben demostrar que siguen vivos para seguir cobrando la jubilacion,como los jubilados deben demostrar que siguen vivos para seguir cobrando la jubilacion
9542,necesito saber si realizo el pago de la tc visa manualmente o se me debitoa automaticamente?,Cat_345,necesito saber si realizo el pago de la tc visa manualmente o se me debitoa automaticamente,necesito saber si realizo el pago de la c visa manualmente o se me debito automaticamente
